in_minimum_set,source_code,title,authors_venue_year,url,agent_read_status,checks_this_clears,check_ids,human_opened,claim_confirmed,notes
,P-01.12,Can Performant LLMs Be Ethical? Quantifying the Impact of Web Crawling Opt-Outs,"Dongyang Fan, Vinko Sabolčec, Matin Ansaripour, Ayush Kumar Tarun,",https://arxiv.org/abs/2504.06219,VERIFIED,2,"CHK-D-001, CHK-D-002",,,Not opened - already covered via P-01.03
,P-04.08,AutoWebGLM: A Large Language Model-based Web Navigating Agent,"Hanyu Lai, Xiao Liu, Iat Long Iong, Shuntian Yao, Yuxuan",https://arxiv.org/abs/2404.03648,VERIFIED,2,"CHK-D-003, CHK-D-004",,,Skip - redundant
,P-06.01,Web Data Commons — October 2024 Structured Data Statistics,"Web Data Commons project, University of Mannheim. Data release",https://webdatacommons.org/structureddata/2024-12/stats/stats.html,VERIFIED,2,"CHK-D-007, CHK-D-025",,,Skip - D-007 already covered (P-06.02)
,P-01.07,Source Coverage and Citation Bias in LLM-based vs. Traditional Search Engines,"Peixian Zhang, Qiming Ye, Zifan Peng, Kiran Garimella, Gareth",https://arxiv.org/abs/2512.09483,VERIFIED,2,"CHK-D-008, CHK-D-009",,,Skip - redundant
NO,P-01.02,Enabling Large Language Models to Generate Text with Citations (ALCE),"Tianyu Gao, Howard Yen, Jiatong Yu, Danqi Chen. EMNLP 2023.",https://arxiv.org/abs/2305.14627,VERIFIED,2,"CHK-D-010, CHK-D-011",yes,no,"About a benchmark (ALCE) for citation quality in LLM-generated answers - correctness/fluency/citation-support metrics. No mention of pronouns, subject ambiguity, or unclear referents anywhere. Same mismatch pattern as P-01.05. D-011 remains unsupported by any source checked so far (2 of 3 tried at this point)."
NO,P-06.03,MAVE: A Product Dataset for Multi-source Attribute Value Extraction,"Li Yang, Qifan Wang, Zac Yu, Anand Kulkarni, Sumit Sanghai,",https://arxiv.org/abs/2112.08663,VERIFIED,2,"CHK-D-013, CHK-D-027",yes,no,"About extracting product attribute-value pairs from e-commerce listings (color, size, brand, etc.) - zero overlap with duplicate/templated content detection. D-013 is now 0 for 2 checked sources (this and P-01.09). Recommend flagging for demotion or removal unless a source outside this project's pool can be found."
,P-04.11,Accessibility Trees and Overlap with Machine Readability,No single consolidated peer-reviewed source for the specific,,,2,"CHK-E-014, CHK-E-022",n/a,n/a,No URL exists - both checks already covered by P-07.06 (human verified).
,P-07.02,Vodafone: a 31% LCP improvement produced 8% more sales (A/B test),"Vodafone / Google, web.dev case study, 2021",https://web.dev/case-studies/vodafone,VERIFIED,2,"CHK-E-019, CHK-E-021",,,Skip - redundant
,P-04.02,Mind2Web: Towards a Generalist Agent for the Web,"Xiang Deng, Yu Gu, Boyuan Zheng, Shijie Chen, Samuel Stevens,",https://arxiv.org/abs/2306.06070,VERIFIED,1,CHK-D-003,,,Skip - redundant
,P-04.09,Trafilatura: A Web Scraping Library and Command-Line Tool for Text Discovery and Extraction,Adrien Barbaresi. ACL 2021 (System Demonstrations).,https://aclanthology.org/2021.acl-demo.15,VERIFIED,1,CHK-D-004,,,Skip - redundant
,P-01.13,Reconstructing Context: Evaluating Advanced Chunking Strategies for Retrieval-Augmented Generation,"Carlo Merola, Jaspinder Singh. Second Workshop on",https://arxiv.org/abs/2504.19754,VERIFIED,1,CHK-D-005,,,Skip - redundant
,P-07.08,F-Shaped Pattern For Reading Web Content,"Jakob Nielsen / Nielsen Norman Group, 2006, with an 11-year follow-up",https://www.nngroup.com/articles/f-shaped-pattern-reading-web-content-discovered/,VERIFIED,1,CHK-D-005,,,Skip - redundant
YES,P-06.02,Web Almanac 2024 — Structured Data Chapter (HTTP Archive),"HTTP Archive Web Almanac, Chapter 3: Structured Data. 2024.",https://almanac.httparchive.org/en/2024/structured-data,VERIFIED,1,CHK-D-007,yes,yes,"Excellent match - real crawled data (not survey), not a preprint. Confirms Organization JSON-LD adoption at only 7.16% of pages (the actual base rate D-007/D-009 needs). Also directly and strongly confirms D-025/D-026 - explicitly states sameAs links to Wikidata/Wikipedia establish 'unambiguous entity identification', with real adoption percentages for each platform. Closes the D-007 gap; cite alongside ReFinED (P-06.06) for D-025."
,P-01.01,GEO: Generative Engine Optimization,"Pranjal Aggarwal, Vishvak Murahari, Tanmay Rajpurohit, Ashwin",https://arxiv.org/abs/2311.09735,VERIFIED,1,CHK-D-010,,,Skip - redundant
NO,P-06.04,FEVER: A Large-Scale Dataset for Fact Extraction and VERification,"James Thorne, Andreas Vlachos, Christos Christodoulopoulos,",https://arxiv.org/abs/1803.05355,VERIFIED,1,CHK-D-011,yes,no,"FEVER is a dataset for claim verification (Supported/Refuted/NotEnoughInfo) against Wikipedia sentences - no mention of pronouns or subject ambiguity. D-011 is now 0 for 3 checked sources (P-01.05, P-01.02, P-06.04). This looks like a genuine gap, not a citation mismatch - recommend flagging D-011 for demotion (to recommendation-only, like E-024) or removal, unless a source outside this project's existing pool can be found."
,P-06.09,Time-Aware Language Models as Temporal Knowledge Bases (TempLAMA),"Bhuwan Dhingra, Jeremy R. Cole, Julian Martin Eisenschlos,",https://arxiv.org/abs/2106.15110,VERIFIED,1,CHK-D-012,,,Skip - redundant
,P-06.07,When Not to Trust Language Models: Investigating Effectiveness of Parametric and Non-Parametric Memories (PopQA),"Alex Mallen, Akari Asai, Victor Zhong, Rajarshi Das, Daniel",https://arxiv.org/abs/2212.10511,VERIFIED,1,CHK-D-025,,,Skip - D-025 already covered (P-06.06 and P-06.02)
,P-07.07,Guidelines are only half of the story: accessibility problems encountered by blind users on the web,"SEARCH-ONLY — the ACM Digital Library returned HTTP 403. The citation, venue,",https://dl.acm.org/doi/10.1145/2207676.2207736,SEARCH-ONLY,1,CHK-E-014,yes,partially,"Real, accessible study (32 blind users, 1,383 logged problems, CHI 2012). Confirms the 50.4% figure - but that number argues WCAG-based checks (what E-014 does) only catch about half of real accessibility problems. So it's evidence for the project's own stated limitation (already used correctly in DECISIONS.md/D-008), not confirmation that E-014's mechanism works well. No practical harm since E-014 is already solidly backed by P-07.06 - but this citation is arguably in the wrong place in the ledger."
,P-07.12,Information Foraging (information scent),"Pirolli, P., & Card, S. K. (1999). *Psychological Review*, 106(4),",https://psycnet.apa.org/doi/10.1037/0033-295X.106.4.643,SEARCH-ONLY,1,CHK-E-017,,,Skip - redundant
,P-07.11,Interstitials and dialogs (Google Search Central documentation),Google Search Central developer documentation; the underlying ranking,https://developers.google.com/search/docs/appearance/avoid-intrusive-interstitials,VERIFIED,1,CHK-E-018,,,Skip - redundant
,P-07.10,A study on tolerable waiting time: how long are Web users willing to wait?,"Nah, F. F.-H. (2004). *Behaviour & Information Technology*, 23(3),",https://www.tandfonline.com/doi/abs/10.1080/01449290410001669914,SEARCH-ONLY,1,CHK-E-019,yes,yes,"Real, accessible study (Nah, 2004, 70 subjects). Directly measures that a loading indicator/feedback bar significantly extends users' patience before abandoning a blank/unresponsive page (13s to 38s average wait) - this supports E-019's 'implement a meaningful loading state' fix specifically. Caveat: dated (2004, dial-up era), small sample, studies broken-link waits rather than JS-render delays specifically, but the underlying mechanism (blank page + no feedback = abandonment; feedback = more patience) transfers well."
,P-07.05,The role of visual complexity and prototypicality regarding first impression of websites,"Tuch, A. N., Presslaber, E. E., Stoecklin, M., Opwis, K., &",https://research.google/pubs/the-role-of-visual-complexity-and-prototypicality-regarding-first-impression-of-websites-working-towards-understanding-aesthetic-judgments/,VERIFIED,1,CHK-E-022,,,Skip - redundant
,P-06.11,FEVER + Truth Discovery Literature Synthesis,,,,1,CHK-E-024,n/a,n/a,No URL exists - second support for E-024, which is recommendation-only. Both its sources are now unverifiable.
