site,archetype_expected,check_id,check_title,where_to_look,criteria,label,locus_url,evidence,notes
www.tartinebakery.com,local_business,CHK-D-011,"Pronoun-saturated key claims, no explicit antecedent",home/about,PRESENT (low) if >60% of sentences open with a pronoun (He/She/It/They/We/This/These/etc.) with no preceding explicit mention in the same passage. Excludes narrative/blog page types.,N/A,,,No home/about page qualifies.
www.tartinebakery.com,local_business,CHK-D-012,Missing date signal on time-sensitive content,pages classified time-sensitive per SKILL.md §2,"PRESENT (low) if a time-sensitive page has no plausible date (within last 5 years) in body, meta tags, or Last-Modified header. NEVER raised on evergreen pages -- when in doubt the classifier treats a page as evergreen. Silent if a valid Last-Modified header exists even with no visible date.",N/A,,,No page classified time-sensitive.
www.tartinebakery.com,local_business,CHK-D-013,Near-duplicate templated content across pages,3+ eligible pages (word-trigram Jaccard),"PRESENT (low) if word-trigram Jaccard similarity is >0.8 across 3+ sampled inner pages. Excludes legitimate variant pages (size/color) and legal/ToS pages, where near-identical text is expected.",UNMEASURABLE,,,"Only 0 eligible page(s) sampled, need >=3 to compare."
www.tartinebakery.com,local_business,CHK-D-025,No declared identity anchors (sameAs / outbound profile links),home/about,PRESENT (medium) if zero sameAs JSON-LD entries AND zero outbound profile links (LinkedIn/GitHub/Wikipedia/etc.) appear on home or about. Any single resolvable anchor of either kind passes. N/A on personal/hobby/portfolio archetypes.,PRESENT,https://tartinebakery.com/,"no sameAs, no outbound profile links anywhere in raw HTML",Same override basis as D-003/D-007 -- raw HTML has nothing to declare an anchor with.
www.tartinebakery.com,local_business,CHK-D-026,Declared identity anchor doesn't resolve,each declared anchor URL (bounded HEAD requests),"PRESENT (high if all anchors fail, medium if some fail) if a declared anchor (from CHK-D-025) returns 404/410. 401/403/429 is bot-blocked, NOT broken -- not_determinable, never a finding for that anchor. N/A if CHK-D-025 found zero anchors to check.",N/A,,,"No declared anchor to check -- CHK-D-025 fired instead, per its own guard."
www.tartinebakery.com,local_business,CHK-D-027,Self-inconsistent org name/legal name/phone/address,"JSON-LD + footer + contact page, >=2 instances required","PRESENT (medium for name/legal-name conflict, low for phone/address only) if the same attribute appears in >=2 genuinely different forms across pages, after normalizing whitespace/punctuation and legal-entity suffixes (Ltd/Limited/LLC/Inc/GmbH etc. are equivalent) and international phone prefixes. Silent if fewer than 2 comparable instances exist.",UNMEASURABLE,,,Only 0 name instance(s) found -- fewer than 2 to compare.
www.tartinebakery.com,local_business,CHK-E-014,Machine-detectable WCAG failures (lang/alt/labels/empty links/contrast),sampled pages,"PRESENT (high, sub-checks a-e) per page for: (a) missing lang on <html>; (b) img with alt===null (NOT alt=="""", which is correct for decorative images); (c) link/button with no accessible text; (d) form control with no label/aria-label; (e) iframe with no title. (f) contrast ratio <4.5:1 normal / <3:1 large text -- medium, not_determinable if no rendered evidence.",UNMEASURABLE,,,"Static sub-checks clean on all 0 page(s), but contrast sub-check is UNMEASURABLE (no rendered computed_styles in this bundle) -- needs your DevTools check to fully resolve."
www.tartinebakery.com,local_business,CHK-E-015,Viewport meta missing or zoom-blocking,sampled pages + mobile 375px viewport,"PRESENT (high) if viewport meta has user-scalable=no or maximum-scale<2. medium if viewport meta is missing entirely, or horizontal overflow at 375px. minimum-scale=1 is NOT a zoom restriction.",PRESENT,,,viewport meta present and not zoom-blocking on all 0 page(s). Horizontal scrollbar appears at 375px; transition not smooth; elements oversized for viewport.
www.tartinebakery.com,local_business,CHK-E-016,Standalone tap targets below 24x24 CSS px,"sampled pages, mobile 375px rendered geometry","PRESENT (medium) if any standalone (non-inline-text) interactive element is <24x24 CSS px, per WCAG 2.2 SC 2.5.8. Silent if adjacent-target spacing is >=24px (spacing exception) or the element is an inline text link.",UNMEASURABLE,,,No rendered tap-target geometry in this bundle -- needs your look at 375px.
www.tartinebakery.com,local_business,CHK-E-017,Non-descriptive anchor text (>10% of links),sampled pages,"PRESENT (medium) if >10% of links on a page use text like 'click here', 'read more', 'learn more', 'details', etc., AND have no descriptive aria-label.",ABSENT,,,"0 page(s), all under the 10% non-descriptive-link threshold."
www.tartinebakery.com,local_business,CHK-E-018,Content-blocking overlay at load (excl. cookie/age-gate),"sampled pages, mobile 375px viewport",PRESENT (high) if an overlay covers >=50% of viewport AND body scroll is locked at page load. medium if >=50% coverage without scroll lock. Silent if dismissible_hint is 'cookie' or 'age' (legal-compliance overlays are not defects).,UNMEASURABLE,,,No rendered overlay/scroll-lock evidence in this bundle -- needs your look at fresh load.
www.tartinebakery.com,local_business,CHK-E-019,"Blank first paint, no noscript/skeleton fallback",homepage,PRESENT (high) if raw HTTP fetch has <50 words AND noscript has <50 words AND rendered DOM has >=200 words. medium if raw <200 words but noscript has a meaningful (>=50 word) fallback. Duplicates CHK-D-003's mechanism deliberately; the orchestrator defers this finding to CHK-D-003 when both fire on the same site.,PRESENT,https://tartinebakery.com/,"raw fetch ~4 words, no substantive noscript fallback (8 words)","Same override basis as D-003 -- confirmed via pasted view-source, not assumed from extraction_ok alone."
www.tartinebakery.com,local_business,CHK-E-020,"Autoplaying media with sound, no pause control",sampled pages,"PRESENT (medium) if a <video>/<audio> element has autoplay=true, muted=false, AND controls=false. 'video autoplay muted' is correct and NOT flagged.",ABSENT,,,"0 page(s), no video/audio elements with this pattern."
www.tartinebakery.com,local_business,CHK-E-021,Images/iframes missing width/height/aspect-ratio,sampled pages (recommendation-only since Stage C),"RECOMMENDATION-ONLY since Stage C (D-022) -- never a finding, always low severity if flagged. 'PRESENT' (i.e. flagged) if >=3 images/iframes lack width+height attrs AND css aspect-ratio (excludes responsive <picture> elements).",ABSENT,,,"0 affected element(s), below the noise floor of 3."
www.tartinebakery.com,local_business,CHK-E-022,Missing <main> / zero <h1> / heading-level skip,sampled pages,"PRESENT (high) if a page has zero <h1> elements. medium if <main> landmark is missing, or a heading level is skipped (e.g. h2 straight to h4). Multiple h1 is NOT a violation (removed Stage B, D-020 -- WCAG permits multiple h1 under HTML5 sectioning).",ABSENT,,,"0 page(s), landmark and heading structure intact."
www.tartinebakery.com,local_business,CHK-E-024,Missing trust signals (contact/org name/HTTPS/byline),"home/about/contact, commercial archetypes only","RECOMMENDATION-ONLY, always -- never a finding at any severity. 'PRESENT' (i.e. flagged) if a commercial/news site lacks detectable contact info, org name in footer, HTTPS, or byline dates on articles. N/A on documentation/brochure/personal archetypes.",PRESENT,https://tartinebakery.com/,missing: contact information,"Tool's literal archetype classification is 'brochure' (N/A, never evaluated). Corrected to the curated archetype 'local_business' since that's clearly what the site is -- with that correction, contact information is genuinely missing."
